"Data Source","World Development Indicators",

"Last Updated Date","2024-11-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"United Arab Emirates","ARE","International migrant stock, total","SM.POP.TOTL","2194","","","","","25981","","","","","65827","","","","","312400","","","","","718479","","","","","1007837","","","","","1306574","","","","","1824118","","","","","2446675","","","","","3281036","","","","","7316611","","","","","8095126","","","","","","","","",
"United Arab Emirates","ARE","Children in employment, wage workers (% of children in employment, ages 7-14)","SL.WAG.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","1.96","","","","","","","","","","1.15","","","","","","","","","","1.8","","","","","2.25","","","","","3.12","","","","","","","","","","","1.64","2.462","2.236","2.331","4.294","3.105","2.873","2.151",
"United Arab Emirates","ARE","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","4.51","","","","","","","","","","2.05","","","","","","","","","","2.35","","","","","2.71","","","","","7.06","","","","","","","","","","","4.02","7.135","5.95","5.348","5.715","6.186","7.066","4.266",
"United Arab Emirates","ARE","Share of youth not in education, employment or training, male (% of male youth population)  (modeled ILO estimate)","SL.UEM.NEET.MA.ME.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.631","6.838","6.55","6.607","6.715","6.595","6.232","5.932","5.688","5.556","5.381","5.313","5.29","4.183","4.647","10.508","6.179","5.253","5.035",
"United Arab Emirates","ARE","Unemployment with intermediate education, male (% of male labor force with intermediate education)","SL.UEM.INTM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.3","","","","","","","","","","2.84","","","","","","","","","","","","2.597","2.502","","","3.979","0.634","1.859",
"United Arab Emirates","ARE","Unemployment with basic education, female (% of female labor force with basic education)","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.89","","","","","","","","","","4","","","","","","","","","","","","4.311","2.739","","","0.552","0.436","2.154",
"United Arab Emirates","ARE","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.906","4.025","4.239","4.249","4.29","4.422","4.492","4.658","4.816","4.943","5.421","5.982","6.643","7.2","7.72","7.122","6.614","6.183","6.199","6.093","5.946","5.665","5.459","5.311","5.075","4.847","7.15","6.646","7.419","14.117","10.488","10.884","10.652",
"United Arab Emirates","ARE","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.093","4.175","4.351","4.323","4.325","4.393","4.462","4.593","4.698","4.761","6.364","8.01","9.735","11.243","12.847","12.316","11.908","11.399","11.361","11.046","10.64","10.101","9.724","9.459","9.113","8.774","15.592","14.097","17.014","18.909","20.501","24.325","22.856",
"United Arab Emirates","ARE","Part time employment, total (% of total employment)","SL.TLF.PART.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.06","2.2","2.57","","","3.94","3.24",
"United Arab Emirates","ARE","Labor force with intermediate education, male (% of male working-age population with intermediate education)","SL.TLF.INTM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.697","89.043","","","87.729","81.639","90.114",
"United Arab Emirates","ARE","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.829","90.161","90.749","91.298","91.886","91.689","90.79","90.092","89.643","89.466","89.61","90.028","90.662","91.463","91.659","90.57","89.177","88.377","88.358","88.976","89.798","90.41","90.842","91.142","91.373","91.655","91.76","92.475","91.895","90.047","92.023","93.045","93.091",
"United Arab Emirates","ARE","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.515","30.035","30.731","30.97","31.214","31.763","32.138","32.549","33.017","33.563","34.206","34.946","35.774","36.676","37.471","38.355","39.129","39.993","41.069","42.382","43.815","45.236","46.648","48.052","49.442","50.805","52.774","52.952","56.797","60.992","52.789","54.062","55.352",
"United Arab Emirates","ARE","Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.184","51.48","","","53.132","71.944","45.157",
"United Arab Emirates","ARE","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.539","74.882","75.444","75.855","76.285","76.262","75.715","75.29","75.055","75.049","75.285","75.753","76.414","77.212","77.619","77.309","76.795","76.66","77.068","77.829","78.657","79.367","79.981","80.532","81.054","81.627","82.246","82.864","83.384","83.201","82.532","83.658","",
"United Arab Emirates","ARE","Labor force participation rate for ages 15-24, total (%) (national estimate)","SL.TLF.ACTI.1524.NE.ZS","","","","","","","","","","","","","","","","65.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.8","","","44.77","","","","","","","","","52.83","54.623","49.363","39.839","44.744","42.048","50.049",
"United Arab Emirates","ARE","Labor force participation rate for ages 15-24, female (%) (national estimate)","SL.TLF.ACTI.1524.FE.NE.ZS","","","","","","","","","","","","","","","","8.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.41","","","30.08","","","","","","","","","33.924","36.585","30.61","29.718","28.414","28.687","26.927",
"United Arab Emirates","ARE","Children in employment, work only, male (% of male children in employment, ages 7-14)","SL.TLF.0714.WK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Children in employment, study and work (% of children in employment, ages 7-14)","SL.TLF.0714.SW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Children in employment, study and work, female (% of female children in employment, ages 7-14)","SL.TLF.0714.SW.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.662267368362","61.9144460979659","62.1995011031991","62.5210319462728","62.8022111006123","62.9173656506925","62.8178252168464","62.9119875819001","63.1681707615054","63.4322694453561","64.1604939894113","64.9780356096256","65.3021411210437","65.8031841676852","66.477349785188","68.2707690055366","69.8583375396365","71.3469729562574","70.3983009577614","70.1838456013135","69.9256175763964","69.4657434385843","68.7501645276083","67.8861899338471","66.4757980678814","65.5862415044129","64.8691718550969","63.939308278554","68.9140247469322","70.6397947928542","68.9142597765876","69.0339890594821","",
"United Arab Emirates","ARE","Child employment in services, male (% of male economically active children ages 7-14)","SL.SRV.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Children in employment, self-employed, female (% of female children in employment, ages 7-14)","SL.SLF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.0205701451914","28.9184311348535","28.829083785515","28.678501331559","28.5914461847874","28.4845322053809","28.6068940563903","28.6063068078945","28.3229828733632","28.0339376090374","27.9331884982475","27.6709115980706","27.8531191320676","27.780739742242","27.548291646655","26.3819607112436","25.3880160942678","24.3944219600337","25.7360437065363","26.2554425891521","26.8037382845908","27.5741734896828","28.597804270094","29.751380946088","31.4546631942233","32.5766340948901","33.492238374085","34.5966289120144","28.8447797296755","27.5769233059699","29.6575696792142","29.5773766657761","",
"United Arab Emirates","ARE","Contributing family workers, total (% of total employment) (modeled ILO estimate)","SL.FAM.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.013928155863802","0.013841331300859","0.0133875160565462","0.0130529392194661","0.0127384812283493","0.01274721498002","0.0126770244118554","0.0121116022352086","0.0124193966714862","0.0132788074551327","0.0130412234082884","0.0130875901194385","0.0136416890015889","0.0145443632419092","0.0156873291201649","0.0186328790459966","0.0206056475324737","0.0253711375321061","0.0240965822107371","0.0252695722514411","0.0273256040910333","0.0257902438744255","0.0220851605156988","0.0193855340538094","0.0182774685127186","0.0142631100939509","0.0810158129064459","0.466375361735564","0.833462114970557","0.456572057571182","0.213698522493526","0.230059994228166","",
"United Arab Emirates","ARE","Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)","SL.FAM.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.689381933439","99.6810154064548","99.6720354539659","99.6662982791038","99.6607413976111","99.6526593270275","99.6446982223468","99.6182643400975","99.5941036172673","99.585858765397","99.5427407517358","99.4911185421524","99.4556723447933","99.4222853750142","99.3644171929911","99.2297705705197","98.9890276799217","98.6604682064255","98.4188128774215","98.2856605810157","98.3200352296014","98.3552254270124","98.4082455052697","98.7404637620126","98.730930041294","98.6906051948905","98.1569689830384","96.2456452341734","94.4978320298276","96.2307961319811","96.6604192632437","96.4685673732937","",
"United Arab Emirates","ARE","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.432","72.728","73.168","73.624","74.079","74.048","73.489","73.001","72.713","72.677","72.79","73.105","73.576","74.311","74.64","74.582","74.265","74.341","74.731","75.566","76.487","77.346","78.026","78.576","79.13","79.706","79.519","80.15","80.552","78.649","78.787","79.884","80.202",
"United Arab Emirates","ARE","Employment to population ratio, 15+, female (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.847","29.339","29.982","30.23","30.476","31.001","31.348","31.711","32.137","32.651","32.962","33.35","33.797","34.374","34.806","35.735","36.494","37.385","38.358","39.693","41.207","42.773","44.276","45.721","47.201","48.645","48.774","49.638","53.395","57.443","49.202","50.732","51.778",
"United Arab Emirates","ARE","Self-employed, male (% of male employment) (modeled ILO estimate)","SL.EMP.SELF.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.95965893155132","2.96936984466788","2.98988767683232","2.9997090616118","3.00256813571901","3.00565984371077","3.01044433779256","3.0543399042679","3.0813554185452","3.07834382263687","3.14504648840973","3.23856934148585","3.32526615574542","3.39994880158312","3.44549444012041","3.73905553392323","4.13988552221554","4.58587989960725","4.55026220335093","4.4362621435165","4.25874915774156","4.08449589521336","3.89248663176835","3.12203259107261","3.17674491234372","3.25410830035946","3.57588630570789","4.01709720235416","4.82060614657701","4.81893138716597","4.63193818460599","4.66516799255047","",
